Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,9,2,0,9,0,0
1,1,1,0,0,8,2,0,8,0,0
1,1,2,0,0,8,2,0,8,0,0
1,1,3,0,0,8,3,0,8,0,0
1,1,4,0,0,8,3,0,8,0,0
1,1,5,0,0,9,4,0,9,0,0
1,1,6,0,0,9,4,0,9,0,0
1,1,7,0,0,10,5,0,10,0,0
1,1,8,0,21,11,6,19.889,10.099,87.771,62.897
1,1,9,0,33,11,7,31.282,10.393,137.869,112.047
1,1,10,0,29,12,6,27.496,11.285,120.707,95.212
1,1,11,0,38,12,6,36.055,11.432,158.18,131.968
1,1,12,0,50,12,5,47.466,11.599,208.088,180.905
1,1,13,0,104,12,5,100.387,12.661,438.022,406.098
1,1,14,188,151,12,4,284.305,16.953,1203.913,1153.087
1,1,15,0,20,12,3,18.939,11.455,83.081,58.294
1,1,16,0,7,12,2,6.619,10.182,29.201,5.408
1,1,17,0,0,11,2,0,11,0,0
1,1,18,0,0,11,2,0,11,0,0
1,1,19,0,0,10,2,0,10,0,0
1,1,20,0,0,10,1,0,10,0,0
1,1,21,0,0,10,1,0,10,0,0
1,1,22,0,0,10,1,0,10,0,0
1,1,23,0,0,10,1,0,10,0,0
1,2,0,0,0,9,1,0,9,0,0
1,2,1,0,0,9,1,0,9,0,0
1,2,2,0,0,9,1,0,9,0,0
1,2,3,0,0,10,1,0,10,0,0
1,2,4,0,0,10,1,0,10,0,0
1,2,5,0,0,9,1,0,9,0,0
1,2,6,0,0,9,1,0,9,0,0
1,2,7,0,0,9,1,0,9,0,0
1,2,8,0,37,9,2,35.104,7.855,156.442,130.264
1,2,9,0,7,10,3,6.625,8.429,29.451,5.653
1,2,10,0,40,10,3,37.944,9.128,168.163,141.759
1,2,11,0,11,10,4,10.426,8.685,46.295,22.189
1,2,12,77,212,10,4,286.146,14.78,1234.836,1183.147
1,2,13,0,86,10,3,82.025,10.996,360.549,330.27
1,2,14,0,89,10,3,85.982,10.53,378.72,348.06
1,2,15,0,15,10,3,14.199,8.759,63.028,38.614
1,2,16,75,28,10,3,58.554,9.662,239.992,212.176
1,2,17,0,0,9,3,0,9,0,0
1,2,18,0,0,9,3,0,9,0,0
1,2,19,0,0,9,3,0,9,0,0
1,2,20,0,0,9,2,0,9,0,0
1,2,21,0,0,8,2,0,8,0,0
1,2,22,0,0,8,2,0,8,0,0
1,2,23,0,0,7,1,0,7,0,0
1,3,0,0,0,7,1,0,7,0,0
1,3,1,0,0,7,1,0,7,0,0
1,3,2,0,0,7,1,0,7,0,0
1,3,3,0,0,7,2,0,7,0,0
1,3,4,0,0,7,2,0,7,0,0
1,3,5,0,0,8,2,0,8,0,0
1,3,6,0,0,9,2,0,9,0,0
1,3,7,0,0,9,2,0,9,0,0
1,3,8,0,55,9,3,54.993,8.519,244.366,216.464
1,3,9,0,15,10,3,14.204,8.673,63.073,38.658
1,3,10,0,113,11,3,110.239,11.956,482.518,449.626
1,3,11,0,66,12,4,62.693,12.04,274.304,245.799
1,3,12,16,182,12,4,194.868,14.884,841.474,800.189
1,3,13,0,98,12,4,94.185,12.929,410.47,379.136
1,3,14,0,109,12,4,107.132,12.997,466.755,434.207
1,3,15,144,93,12,4,171.898,14.469,723.966,685.545
1,3,16,0,22,11,4,20.865,10.227,92.025,67.071
1,3,17,0,0,11,3,0,11,0,0
1,3,18,0,0,11,3,0,11,0,0
1,3,19,0,0,12,3,0,12,0,0
1,3,20,0,0,12,3,0,12,0,0
1,3,21,0,0,12,2,0,12,0,0
1,3,22,0,0,12,2,0,12,0,0
1,3,23,0,0,12,2,0,12,0,0
1,4,0,0,0,12,2,0,12,0,0
1,4,1,0,0,11,2,0,11,0,0
1,4,2,0,0,11,2,0,11,0,0
1,4,3,0,0,11,2,0,11,0,0
1,4,4,0,0,11,1,0,11,0,0
1,4,5,0,0,11,1,0,11,0,0
1,4,6,0,0,11,1,0,11,0,0
1,4,7,0,0,11,1,0,11,0,0
1,4,8,139,62,11,1,128.722,12.759,534.776,500.728
1,4,9,608,79,12,1,437.34,24.4,1752.853,1685.537
1,4,10,769,76,13,1,618.802,32.303,2430.777,2339.706
1,4,11,807,82,14,1,711.755,36.754,2752.762,2649.095
1,4,12,814,83,15,1,730.39,38.624,2801.227,2695.592
